Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Benartefa],Price [Benartefa],In stock [Benartefa],Low stock [Benartefa]
ROSE-BRAND-MG-REFIL-2-LT,10103,ROSE-BRAND-MG-REFIL-2-LT,food,,N,,,,,,,30075,8993093664711,,,Y,Y,32500,2.000,
ROYALE-SOF-TPCH-800-PINK/SWEET-FLORAL-619028,22474,ROYALE-SOF-TPCH-800-PINK/SWEET-FLORAL-619028,Non Food,,N,,,,,,,23080,8998866619028,,,Y,Y,25600,1.000,
ROYALE-SOFT-REF-800-BLK-VELVET-614122,22475,ROYALE-SOFT-REF-800-BLK-VELVET-614122,Non Food,,N,,,,,,,27540,8998866614122,,,Y,Y,30600,1.000,
ROYALE-SOFT-REF-800-PINK-SATIN-612371,22476,ROYALE-SOFT-REF-800-PINK-SATIN-612371,Non Food,,N,,,,,,,27535,8998866612371,,,Y,Y,30600,1.000,
ROYALE-SOFT-RF-900-BLUE/WINTER-BREEZE-808361,22477,ROYALE-SOFT-RF-900-BLUE/WINTER-BREEZE-808361,Non Food,,N,,,,,,,27535,8998866808361,,,Y,Y,30600,1.000,
ROYALE-SOFT-RF-900-RED-HOT-SUMMER-808316,22478,ROYALE-SOFT-RF-900-RED-HOT-SUMMER-808316,Non Food,,N,,,,,,,27535,8998866808316,,,Y,Y,30600,2.000,
ROYALE-SOFT-RF-900-WHT-SPARY-NIGHT-608415,22479,ROYALE-SOFT-RF-900-WHT-SPARY-NIGHT-608415,Non Food,,N,,,,,,,27535,8998866808415,,,Y,Y,30600,1.000,
ROYALE-SOFT-SACH-13-BLUE-WINTERBREEZE-808712,22480,ROYALE-SOFT-SACH-13-BLUE-WINTERBREEZE-808712,Non Food,,N,,,,,,,2365,8998866808712,,,Y,Y,2600,0.000,
ROYALE-SOFT-SACH-13-HOT-SUMMER/RED-808705,22481,ROYALE-SOFT-SACH-13-HOT-SUMMER/RED-808705,Non Food,,N,,,,,,,2365,8998866808705,,,Y,Y,2600,1.000,
ROYALE-SOFT-SACH-13-PARFUM/PURPLE-DAWN-808699,22482,ROYALE-SOFT-SACH-13-PARFUM/PURPLE-DAWN-808699,Non Food,,N,,,,,,,2365,8998866808699,,,Y,Y,2600,1.000,
